id,refi_pathway,pd_score,pred_rate,scenario_current_rate,monthly_savings,risk_adjusted_savings,recommendation
106857031,other,0.3863970835531578,12.674667868043782,17.740000000000002,33.63023215893344,20.635608533505938,consider
112696255,pl_refinance,0.3580030412795713,12.049287779471769,16.990000000000002,14.40587235575066,9.24852624010662,consider
129404693,other,0.603919606582489,18.092985921075876,23.45,14.383402300248747,5.696983641764857,hold
98836720,pl_refinance,0.20405059875866047,7.925345239085189,12.99,11.935992055343235,9.500445729671833,consider
96329596,pl_refinance,0.5637647144056871,15.731959774227295,20.990000000000002,51.883310606498185,22.63333082000418,hold
102641691,pl_refinance,0.27023236767551206,7.938058425051691,12.99,41.633869523416024,30.38305038660997,consider
100435630,pl_refinance,0.28433242894715927,7.93536747089894,12.99,107.49733664301539,76.93235780995636,consider
109971120,other,0.16054289858225146,5.406838955931202,10.32,13.744032676907608,11.53752583274768,consider
126307129,other,0.366159966919833,11.032352713037493,15.91,13.326424384056423,8.446821272430668,consider
105751387,pl_refinance,0.5991516592568967,13.595300636945153,18.490000000000002,96.96207993956625,38.86708885877527,hold
127132237,pl_refinance,0.7105247921952157,19.351380240143797,25.0,51.139455269366124,14.80360444112323,hold
126701748,pl_refinance,0.6797193087140655,15.846010629132715,21.02,165.14150011470906,52.89163381673525,hold
99270505,cc_to_pl,0.14917481575405023,6.759622686237803,36.0,133.69899246603256,113.75446989841001,consider
125054721,other,0.3554822642799947,13.384950435365978,18.59,15.715414267919812,10.128863219861543,consider
104192605,other,0.6492279802656092,18.521554067777814,24.99,178.71574619662965,62.688483251730545,hold
128109680,pl_refinance,0.4108938119544406,12.550212414508483,17.619999999999997,17.98294469296704,10.593863997907937,consider
122271537,other,0.6766290979019228,14.78235475509736,20.05,87.43378464733587,28.27354181525801,hold
129692800,pl_refinance,0.7753826427122144,24.589077314557723,33.72,201.84259152761297,45.33734949705042,hold
98788782,pl_refinance,0.2922281421580858,8.282578851787987,13.24,22.61072145649331,16.003232332408302,consider
